Query,p@3,p@5,p@10,p@15,p@Mx,Doc Count,Recall,F-measure,Search Engine
computer programming ,0.66666666666667,0.6,0.7,0.53333333333333,0.17,100,0.17,0.17,Google
computer programming ,1,1,1,0.86666666666667,0.51,100,0.51,0.51,Aggregated
barbados ,1,1,0.9,0.86666666666667,0.41836734693878,98,0.41,0.41414141414141,Bing
barbados ,1,1,0.9,0.73333333333333,0.39393939393939,99,0.39,0.39195979899497,Blekko
barbados ,1,0.8,0.7,0.66666666666667,0.21,100,0.21,0.21,Google
barbados ,1,1,1,0.93333333333333,0.56,100,0.56,0.56,Aggregated
lipoma ,1,1,1,1,0.5531914893617,94,0.52,0.5360824742268,Bing
lipoma ,0.33333333333333,0.2,0.5,0.46666666666667,0.29292929292929,99,0.29,0.29145728643216,Blekko
lipoma ,1,0.6,0.7,0.6,0.18,100,0.18,0.18,Google
lipoma ,1,1,1,0.86666666666667,0.56,100,0.56,0.56,Aggregated
battles in the civil war ,1,0.8,0.7,0.8,0.33,100,0.33,0.33,Bing
battles in the civil war ,0.33333333333333,0.4,0.5,0.66666666666667,0.35,100,0.35,0.35,Blekko
battles in the civil war ,1,1,0.6,0.6,0.17,100,0.17,0.17,Google
battles in the civil war ,1,1,0.9,0.86666666666667,0.53,100,0.53,0.53,Aggregated
scooters ,1,1,0.9,0.8,0.44,100,0.44,0.44,Bing
scooters ,0,0.2,0.4,0.46666666666667,0.35353535353535,99,0.35,0.35175879396985,Blekko
scooters ,0.66666666666667,0.6,0.3,0.26666666666667,0.14,100,0.14,0.14,Google
scooters ,0.66666666666667,0.8,0.8,0.86666666666667,0.47,100,0.47,0.47,Aggregated
ron howard ,1,1,1,0.93333333333333,0.45833333333333,96,0.44,0.44897959183673,Bing
ron howard ,1,1,0.8,0.73333333333333,0.33,100,0.33,0.33,Blekko
ron howard ,1,1,0.9,0.93333333333333,0.3,100,0.3,0.3,Google
ron howard ,1,1,1,1,0.56,100,0.56,0.56,Aggregated
becoming a paralegal ,1,1,1,0.93333333333333,0.37,100,0.37,0.37,Bing
becoming a paralegal ,0.33333333333333,0.2,0.1,0.2,0.18181818181818,99,0.18,0.18090452261307,Blekko
becoming a paralegal ,1,1,1,0.8,0.34,100,0.34,0.34,Google
becoming a paralegal ,1,1,1,0.93333333333333,0.47,100,0.47,0.47,Aggregated
hip fractures ,1,1,1,0.93333333333333,0.46875,96,0.45,0.45918367346939,Bing
hip fractures ,1,1,0.7,0.6,0.22,100,0.22,0.22,Blekko
hip fractures ,1,0.8,0.8,0.86666666666667,0.28,100,0.28,0.28,Google
hip fractures ,1,1,1,1,0.52,100,0.52,0.52,Aggregated
rock art ,1,1,1,0.93333333333333,0.39583333333333,96,0.38,0.38775510204082,Bing
rock art ,1,0.8,0.7,0.73333333333333,0.36,100,0.36,0.36,Blekko
rock art ,1,1,0.8,0.8,0.4,100,0.4,0.4,Google
rock art ,1,1,1,1,0.63,100,0.63,0.63,Aggregated
signs of a heartattack ,1,1,1,0.86666666666667,0.34,100,0.34,0.34,Bing
signs of a heartattack ,0,0,0.1,0.13333333333333,0.16129032258065,31,0.05,0.076335877862595,Blekko
signs of a heartattack ,0.66666666666667,0.8,0.5,0.53333333333333,0.31,100,0.31,0.31,Google
signs of a heartattack ,1,1,1,0.86666666666667,0.43,100,0.43,0.43,Aggregated
weather strip ,1,1,0.8,0.86666666666667,0.36458333333333,96,0.35,0.35714285714286,Bing
weather strip ,0.66666666666667,0.8,0.6,0.46666666666667,0.17,100,0.17,0.17,Blekko
weather strip ,0.33333333333333,0.4,0.5,0.66666666666667,0.26,100,0.26,0.26,Google
weather strip ,1,1,1,0.93333333333333,0.49,100,0.49,0.49,Aggregated
best long term care insurance ,1,1,1,1,0.36,100,0.36,0.36,Bing
best long term care insurance ,1,1,0.7,0.53333333333333,0.18,100,0.18,0.18,Blekko
best long term care insurance ,1,1,0.9,0.8,0.23,100,0.23,0.23,Google
best long term care insurance ,1,1,0.9,0.86666666666667,0.49,100,0.49,0.49,Aggregated
pork tenderloin ,1,1,1,0.93333333333333,0.36458333333333,96,0.35,0.35714285714286,Bing
pork tenderloin ,0.33333333333333,0.2,0.4,0.26666666666667,0.11,100,0.11,0.11,Blekko
pork tenderloin ,1,1,0.9,0.86666666666667,0.27,100,0.27,0.27,Google
pork tenderloin ,1,1,1,0.86666666666667,0.5,100,0.5,0.5,Aggregated
black history ,1,1,1,0.93333333333333,0.43617021276596,94,0.41,0.42268041237113,Bing
black history ,1,0.8,0.8,0.8,0.3,100,0.3,0.3,Blekko
black history ,1,1,0.9,0.86666666666667,0.36,100,0.36,0.36,Google
black history ,1,1,1,0.93333333333333,0.59,100,0.59,0.59,Aggregated
newyork hotels ,1,1,1,0.86666666666667,0.41836734693878,98,0.41,0.41414141414141,Bing
newyork hotels ,0.33333333333333,0.2,0.2,0.33333333333333,0.14,100,0.14,0.14,Blekko
newyork hotels ,1,0.8,0.8,0.86666666666667,0.51,100,0.51,0.51,Google
newyork hotels ,1,1,1,1,0.52,100,0.52,0.52,Aggregated
old coins ,1,1,0.9,0.86666666666667,0.32978723404255,94,0.31,0.31958762886598,Bing
old coins ,0.33333333333333,0.2,0.3,0.26666666666667,0.18367346938776,98,0.18,0.18181818181818,Blekko
